algorithm,scenario_index,run_id,source,dest,bandwidth_requirement,path,cost,delay_ms,reliability_cost,resource_cost
GA (Optimized),0,0,8,44,200.0,"[8, 240, 243, 67, 44]",11.91722232038449,20.98,0.20523599918242486,6.828257603148808
GA (Optimized),0,1,8,44,200.0,"[8, 244, 123, 44]",10.627397792692598,15.559999999999999,0.13237248065449306,14.038430242481255
GA (Optimized),0,2,8,44,200.0,"[8, 244, 44]",5.386250358754264,8.36,0.08358923918837177,5.905867934988766
GA (Optimized),0,3,8,44,200.0,"[8, 54, 106, 44]",11.211665728440865,20.9,0.12490595228016306,3.620969713784085
GA (Optimized),0,4,8,44,200.0,"[8, 67, 108, 68, 129, 70, 48, 44]",23.272752338889628,42.239999999999995,0.4271688783321835,10.123008376949864
GA (Optimized),1,0,24,221,172.0,"[24, 58, 221]",5.0793161872243475,9.01,0.09246987479226651,2.732876123933337
GA (Optimized),1,1,24,221,172.0,"[24, 147, 205, 221]",12.063263985054377,21.959999999999997,0.08016894351571716,5.296066509998308
GA (Optimized),1,2,24,221,172.0,"[24, 58, 221]",5.0793161872243475,9.01,0.09246987479226651,2.732876123933337
GA (Optimized),1,3,24,221,172.0,"[24, 170, 174, 221]",7.526184879046593,12.540000000000001,0.16710751197703586,6.030263127267407
GA (Optimized),1,4,24,221,172.0,"[24, 11, 221]",7.000816438184296,12.33,0.07326065338352736,4.069191210846189
GA (Optimized),2,0,32,42,162.0,"[32, 139, 128, 137, 74, 174, 42]",19.582290128055327,33.98,0.2798304667391586,12.541704940167904
GA (Optimized),2,1,32,42,162.0,"[32, 31, 7, 116, 80, 42]",15.201101760174605,27.18,0.25640035318910637,7.67090827108936
GA (Optimized),2,2,32,42,162.0,"[32, 166, 33, 42]",9.558123568467924,17.16,0.14177229116247425,4.67795940559591
GA (Optimized),2,3,32,42,162.0,"[32, 238, 42]",6.2631129980468,10.59,0.049477503933296176,4.766348734334056
GA (Optimized),2,4,32,42,162.0,"[32, 31, 65, 42]",10.069518948097942,18.14,0.13565620632873354,4.794110430996602
GA (Optimized),3,0,37,208,124.0,"[37, 71, 208]",6.289704322076053,10.63,0.07598188498601033,4.759548782901247
GA (Optimized),3,1,37,208,124.0,"[37, 71, 208]",6.289704322076053,10.63,0.07598188498601033,4.759548782901247
GA (Optimized),3,2,37,208,124.0,"[37, 112, 208]",6.334583404358624,11.69,0.03026165174239738,2.4025245441795233
GA (Optimized),3,3,37,208,124.0,"[37, 71, 208]",6.289704322076053,10.63,0.07598188498601033,4.759548782901247
GA (Optimized),3,4,37,208,124.0,"[37, 112, 200, 179, 87, 208]",15.728329730455265,27.37,0.26767304388644086,9.81513908644666
GA (Optimized),4,0,51,124,94.0,"[51, 124]",3.721857533679465,7.0,0.014098924379501648,1.088139281828074
GA (Optimized),4,1,51,124,94.0,"[51, 167, 132, 124]",9.495681865931866,14.7,0.14214120831041036,10.515197517193716
GA (Optimized),4,2,51,124,94.0,"[51, 58, 124]",5.564738649550883,9.01,0.10179032526762952,5.146007759852972
GA (Optimized),4,3,51,124,94.0,"[51, 124]",3.721857533679465,7.0,0.014098924379501648,1.088139281828074
GA (Optimized),4,4,51,124,94.0,"[51, 71, 224, 124]",9.211222836763351,15.260000000000002,0.10160830792585179,7.753701721927979
GA (Optimized),5,0,53,19,57.0,"[53, 126, 19]",4.311705114199473,7.5600000000000005,0.10589085626354804,2.499689286602038
GA (Optimized),5,1,53,19,57.0,"[53, 126, 19]",4.311705114199473,7.5600000000000005,0.10589085626354804,2.499689286602038
GA (Optimized),5,2,53,19,57.0,"[53, 62, 19]",7.1608718243786385,12.47,0.03735436682159335,4.573327571660802
GA (Optimized),5,3,53,19,57.0,"[53, 1, 200, 150, 44, 19]",18.967934703105666,33.980000000000004,0.26332536648903493,9.494685465794763
GA (Optimized),5,4,53,19,57.0,"[53, 126, 218, 19]",9.396108287560367,16.78,0.11671240689153237,4.85547282746453
GA (Optimized),6,0,58,106,115.0,"[58, 126, 106]",6.909005703587948,12.56,0.1010283928668187,2.9934859286395126
GA (Optimized),6,1,58,106,115.0,"[58, 178, 106]",6.12067315609306,10.8,0.05158751134932697,3.5259845134413066
GA (Optimized),6,2,58,106,115.0,"[58, 15, 106]",4.653823720423383,7.9,0.10810757425953182,3.3569572407276165
GA (Optimized),6,3,58,106,115.0,"[58, 15, 106]",4.653823720423383,7.9,0.10810757425953182,3.3569572407276165
GA (Optimized),6,4,58,106,115.0,"[58, 15, 106]",4.653823720423383,7.9,0.10810757425953182,3.3569572407276165
GA (Optimized),7,0,64,237,98.0,"[64, 103, 190, 237]",8.568434928311376,15.620000000000001,0.14342993591909758,3.5770297376782274
GA (Optimized),7,1,64,237,98.0,"[64, 237]",4.791030839875483,9.0,0.03770186718401153,1.3986013986013985
GA (Optimized),7,2,64,237,98.0,"[64, 237]",4.791030839875483,9.0,0.03770186718401153,1.3986013986013985
GA (Optimized),7,3,64,237,98.0,"[64, 171, 55, 237]",9.844662519409743,18.16,0.09808331628146585,3.676187622626511
GA (Optimized),7,4,64,237,98.0,"[64, 190, 237]",5.630938201429143,9.57,0.11331151345444038,4.059723736964056
GA (Optimized),8,0,77,67,135.0,"[77, 63, 67]",6.3462589723737555,10.05,0.08140048353413273,6.484194136567577
GA (Optimized),8,1,77,67,135.0,"[77, 200, 179, 67]",8.645643790254065,15.48,0.15806750967697678,4.2911176867548555
GA (Optimized),8,2,77,67,135.0,"[77, 105, 209, 67]",10.189621102597673,17.29,0.12497782121849019,7.5356387811606345
