algorithm,scenario_index,run_id,source,dest,bandwidth_requirement,path,total_cost,delay_ms,reliability_cost,resource_cost
GeneticAlgorithm,6,4,40,199,400.0,"[40, 199]",5.796933429249194,10.70920580954056,0.027464322511411926,2.170456138627451
GeneticAlgorithm,7,0,50,180,500.0,"[50, 180]",5.166060538015906,9.774717067419122,0.02650765021706139,1.353748546206134
GeneticAlgorithm,7,1,50,180,500.0,"[50, 180]",5.166060538015906,9.774717067419122,0.02650765021706139,1.353748546206134
GeneticAlgorithm,7,2,50,180,500.0,"[50, 180]",5.166060538015906,9.774717067419122,0.02650765021706139,1.353748546206134
GeneticAlgorithm,7,3,50,180,500.0,"[50, 180]",5.166060538015906,9.774717067419122,0.02650765021706139,1.353748546206134
GeneticAlgorithm,7,4,50,180,500.0,"[50, 180]",5.166060538015906,9.774717067419122,0.02650765021706139,1.353748546206134
GeneticAlgorithm,8,0,60,170,150.0,"[60, 170]",7.307404811096992,13.93566900998586,0.020606171325132,1.6669422735326143
GeneticAlgorithm,8,1,60,170,150.0,"[60, 170]",7.307404811096992,13.93566900998586,0.020606171325132,1.6669422735326143
GeneticAlgorithm,8,2,60,170,150.0,"[60, 170]",7.307404811096992,13.93566900998586,0.020606171325132,1.6669422735326143
GeneticAlgorithm,8,3,60,170,150.0,"[60, 170]",7.307404811096992,13.93566900998586,0.020606171325132,1.6669422735326143
GeneticAlgorithm,8,4,60,170,150.0,"[60, 170]",7.307404811096992,13.93566900998586,0.020606171325132,1.6669422735326143
GeneticAlgorithm,9,0,70,160,200.0,"[70, 160]",2.735425442274601,3.1074505828089083,0.0122098174195667,5.890186028221386
GeneticAlgorithm,9,1,70,160,200.0,"[70, 160]",2.735425442274601,3.1074505828089083,0.0122098174195667,5.890186028221386
GeneticAlgorithm,9,2,70,160,200.0,"[70, 160]",2.735425442274601,3.1074505828089083,0.0122098174195667,5.890186028221386
GeneticAlgorithm,9,3,70,160,200.0,"[70, 160]",2.735425442274601,3.1074505828089083,0.0122098174195667,5.890186028221386
GeneticAlgorithm,9,4,70,160,200.0,"[70, 160]",2.735425442274601,3.1074505828089083,0.0122098174195667,5.890186028221386
GeneticAlgorithm,10,0,80,150,250.0,"[80, 76, 150]",11.099287360480243,21.216683535579996,0.06801540144355933,2.3527048612858845
GeneticAlgorithm,10,1,80,150,250.0,"[80, 76, 150]",11.099287360480243,21.216683535579996,0.06801540144355933,2.3527048612858845
GeneticAlgorithm,10,2,80,150,250.0,"[80, 76, 150]",11.099287360480243,21.216683535579996,0.06801540144355933,2.3527048612858845
GeneticAlgorithm,10,3,80,150,250.0,"[80, 76, 150]",11.099287360480243,21.216683535579996,0.06801540144355933,2.3527048612858845
GeneticAlgorithm,10,4,80,150,250.0,"[80, 76, 150]",11.099287360480243,21.216683535579996,0.06801540144355933,2.3527048612858845
GeneticAlgorithm,11,0,90,140,300.0,"[90, 75, 140]",8.16537685125877,13.406371051862855,0.028301666057491414,7.2685041275504805
GeneticAlgorithm,11,1,90,140,300.0,"[90, 75, 140]",8.16537685125877,13.406371051862855,0.028301666057491414,7.2685041275504805
GeneticAlgorithm,11,2,90,140,300.0,"[90, 75, 140]",8.16537685125877,13.406371051862855,0.028301666057491414,7.2685041275504805
GeneticAlgorithm,11,3,90,140,300.0,"[90, 75, 140]",8.16537685125877,13.406371051862855,0.028301666057491414,7.2685041275504805
GeneticAlgorithm,11,4,90,140,300.0,"[90, 75, 140]",8.16537685125877,13.406371051862855,0.028301666057491414,7.2685041275504805
GeneticAlgorithm,12,0,100,130,350.0,"[100, 0, 130]",10.608833008903012,19.858311087501487,0.09952635182974337,3.2490977980167246
GeneticAlgorithm,12,1,100,130,350.0,"[100, 0, 130]",10.608833008903012,19.858311087501487,0.09952635182974337,3.2490977980167246
GeneticAlgorithm,12,2,100,130,350.0,"[100, 0, 130]",10.608833008903012,19.858311087501487,0.09952635182974337,3.2490977980167246
GeneticAlgorithm,12,3,100,130,350.0,"[100, 0, 130]",10.608833008903012,19.858311087501487,0.09952635182974337,3.2490977980167246
GeneticAlgorithm,12,4,100,130,350.0,"[100, 0, 130]",10.608833008903012,19.858311087501487,0.09952635182974337,3.2490977980167246
GeneticAlgorithm,13,0,110,120,400.0,"[110, 89, 120]",7.802085291683142,13.851790430047885,0.05843468608341768,4.2932983541708705
GeneticAlgorithm,13,1,110,120,400.0,"[110, 89, 120]",7.802085291683142,13.851790430047885,0.05843468608341768,4.2932983541708705
GeneticAlgorithm,13,2,110,120,400.0,"[110, 89, 120]",7.802085291683142,13.851790430047885,0.05843468608341768,4.2932983541708705
